date,sales
2013-01-01,1.4094383
2013-01-02,278.3908
2013-01-03,202.8402
2013-01-04,198.91116
2013-01-05,267.87326
2013-01-06,291.63602
2013-01-07,188.62111
2013-01-08,178.64635
2013-01-09,169.77037
2013-01-10,145.33221
2013-01-11,162.5913
2013-01-12,226.2953
2013-01-13,260.73993
2013-01-14,164.6175
2013-01-15,167.86171
2013-01-16,178.64641
2013-01-17,150.1114
2013-01-18,166.17892
2013-01-19,242.6823
2013-01-20,258.74994
2013-01-21,174.64157
2013-01-22,166.226
2013-01-23,158.95537
2013-01-24,138.74617
2013-01-25,162.75128
2013-01-26,232.21088
2013-01-27,241.53311
2013-01-28,160.19089
2013-01-29,148.42245
2013-01-30,157.72229
2013-01-31,152.21898
2013-02-01,207.29633
2013-02-02,291.18265
2013-02-03,272.9163
2013-02-04,193.21477
2013-02-05,180.27264
2013-02-06,180.43669
2013-02-07,163.19165
2013-02-08,194.97295
2013-02-09,233.5445
2013-02-10,168.88403
2013-02-11,156.35667
2013-02-12,173.28888
2013-02-13,179.34789
2013-02-14,172.93155
2013-02-15,179.66827
2013-02-16,272.53674
2013-02-17,224.2362
2013-02-18,196.82692
2013-02-19,164.77992
2013-02-20,176.09605
2013-02-21,150.2307
2013-02-22,160.31418
2013-02-23,231.70445
2013-02-24,254.05507
2013-02-25,172.34056
2013-02-26,151.75365
2013-02-27,161.84175
2013-02-28,156.06975
2013-03-01,212.62523
2013-03-02,307.4395
2013-03-03,314.15295
2013-03-04,215.29051
2013-03-05,186.41414
2013-03-06,188.39876
2013-03-07,164.47784
2013-03-08,177.66592
2013-03-09,254.35437
2013-03-10,259.18054
2013-03-11,178.66393
2013-03-12,152.53838
2013-03-13,161.54301
2013-03-14,138.91214
2013-03-15,177.26044
2013-03-16,270.6136
2013-03-17,288.1255
2013-03-18,185.34445
2013-03-19,164.99452
2013-03-20,180.25084
2013-03-21,151.02701
2013-03-22,170.65121
2013-03-23,254.3165
2013-03-24,252.41
2013-03-25,178.20406
2013-03-26,154.78017
2013-03-27,176.0332
2013-03-28,190.40027
2013-03-29,193.89064
2013-03-30,254.0187
2013-03-31,259.31964
2013-04-01,240.63773
2013-04-02,211.97127
2013-04-03,209.72563
2013-04-04,173.25386
2013-04-05,188.77373
2013-04-06,285.87216
2013-04-07,291.27295
2013-04-08,194.52852
2013-04-09,171.90562
2013-04-10,175.55913
2013-04-11,170.15904
2013-04-12,176.42815
2013-04-13,254.45708
2013-04-14,268.47202
2013-04-15,190.07434
2013-04-16,187.11104
2013-04-17,187.9857
2013-04-18,158.20679
2013-04-19,174.85338
2013-04-20,258.0723
2013-04-21,272.57074
2013-04-22,184.56023
2013-04-23,169.5274
2013-04-24,174.27339
2013-04-25,150.83649
2013-04-26,170.82692
2013-04-27,250.65395
2013-04-28,268.02664
2013-04-29,184.50948
2013-04-30,174.06648
2013-05-01,285.05872
2013-05-02,195.68433
2013-05-03,210.03998
2013-05-04,291.9975
2013-05-05,325.6277
2013-05-06,207.55858
2013-05-07,178.05441
2013-05-08,186.57542
2013-05-09,171.64313
2013-05-10,188.51707
2013-05-11,287.36847
2013-05-12,217.6546
2013-05-13,196.74414
2013-05-14,173.10287
2013-05-15,184.68774
2013-05-16,172.59088
2013-05-17,185.18758
2013-05-18,269.90436
2013-05-19,290.7708
2013-05-20,191.79979
2013-05-21,172.37845
2013-05-22,169.35211
2013-05-23,162.32382
2013-05-24,223.56299
2013-05-25,234.5287
2013-05-26,252.87958
2013-05-27,180.4887
2013-05-28,172.46304
2013-05-29,173.58775
2013-05-30,170.78835
2013-05-31,185.32988
2013-06-01,318.1267
2013-06-02,357.8555
2013-06-03,239.2436
2013-06-04,207.46642
2013-06-05,203.0253
2013-06-06,178.16878
2013-06-07,200.71442
2013-06-08,261.66818
2013-06-09,295.62555
2013-06-10,196.27065
2013-06-11,159.29193
2013-06-12,179.67091
2013-06-13,158.74686
2013-06-14,183.47742
2013-06-15,283.9229
2013-06-16,244.60948
2013-06-17,208.16177
2013-06-18,180.07034
2013-06-19,179.14436
2013-06-20,164.91467
2013-06-21,179.4179
2013-06-22,250.47548
2013-06-23,283.36972
2013-06-24,188.90683
2013-06-25,171.22308
2013-06-26,169.38678
2013-06-27,149.56535
2013-06-28,181.93657
2013-06-29,285.84686
2013-06-30,299.37244
2013-07-01,247.90033
2013-07-02,219.39302
2013-07-03,210.18625
2013-07-04,183.51302
2013-07-05,197.195
2013-07-06,269.08783
2013-07-07,280.9237
2013-07-08,205.08025
2013-07-09,178.04666
2013-07-10,176.2822
2013-07-11,158.10939
2013-07-12,173.28082
2013-07-13,242.7436
2013-07-14,246.19664
2013-07-15,195.73683
2013-07-16,188.2807
2013-07-17,181.99428
2013-07-18,161.09702
2013-07-19,175.83197
2013-07-20,244.38705
2013-07-21,245.76466
2013-07-22,192.36943
2013-07-23,177.47333
2013-07-24,173.53748
2013-07-25,167.26949
2013-07-26,178.86963
2013-07-27,237.87346
2013-07-28,243.18668
2013-07-29,186.02316
2013-07-30,178.76207
2013-07-31,200.8883
2013-08-01,223.09502
2013-08-02,221.00513
2013-08-03,290.09924
2013-08-04,288.58994
2013-08-05,228.41403
2013-08-06,200.48476
2013-08-07,197.13924
2013-08-08,174.49664
2013-08-09,189.4061
2013-08-10,243.65036
2013-08-11,243.95079
2013-08-12,196.14995
2013-08-13,177.948
2013-08-14,182.02995
2013-08-15,174.54723
2013-08-16,204.53833
2013-08-17,251.87167
2013-08-18,260.41177
2013-08-19,203.19054
2013-08-20,192.50624
2013-08-21,188.39767
2013-08-22,171.98274
2013-08-23,186.25497
2013-08-24,236.01355
2013-08-25,248.98659
2013-08-26,194.81462
2013-08-27,179.39854
2013-08-28,179.19307
2013-08-29,165.27423
2013-08-30,199.17673
2013-08-31,293.84476
2013-09-01,359.375
